 query_name, seed eggNOG ortholog, seed ortholog evalue, seed ortholog score, Predicted taxonomic group, Predicted protein name, Gene Ontology terms , EC number, KEGG_ko, KEGG_Pathway, KEGG_Module, KEGG_Reaction, KEGG_rclass, BRITE, KEGG_TC, CAZy , BiGG Reaction, tax_scope: eggNOG taxonomic level used for annotation, eggNOG OGs , COG Functional Category, eggNOG free text description
ACLMOMIF_00226,1027396.LMOSA_140,3.8E-142,510.8,Firmicutes,cmoA,0,0,ko:K15256,0,0,0,0,"ko00000,ko01000,ko03016",0,0,0,Bacteria,"1UJ78@1239,COG2890@1,COG2890@2",J,Methyltransferase domain
ACLMOMIF_00227,1027396.LMOSA_150,1.5E-101,375.6,Bacteria,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"COG1309@1,COG1309@2",K,transcriptional regulator
ACLMOMIF_00567,386043.lwe0309,8.2E-36,158.3,Firmicutes,0,0,0,ko:K13730,"ko05100,map05100",0,0,0,"ko00000,ko00001",0,0,0,Bacteria,"1VI4X@1239,COG4886@1,COG4886@2,COG4932@1,COG4932@2",M,Leucine Rich repeats (2 copies)
ACLMOMIF_00568,1123306.KB904340_gene540,4.5E-32,145.2,Bacteria,XK27_10720,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"COG2339@1,COG2339@2",D,peptidase activity
ACLMOMIF_00570,1121121.KB894325_gene3114,5.4E-60,237.7,Bacilli,0,0,0,"ko:K02031,ko:K02032","ko02024,map02024",M00239,0,0,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,0,0,Bacteria,"1UJ90@1239,4IT54@91061,COG1123@1,COG4172@2",P,ATPases associated with a variety of cellular activities
ACLMOMIF_00571,1121121.KB894325_gene3115,7.1E-79,300.4,Bacilli,0,0,0,"ko:K02031,ko:K02032","ko02024,map02024",M00239,0,0,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,0,0,Bacteria,"1V9CK@1239,4HJZ0@91061,COG1123@1,COG4172@2",P,abc transporter atp-binding protein
ACLMOMIF_00572,1042163.BRLA_c030060,3.8E-89,334.7,Bacilli,nikC,0,0,"ko:K02034,ko:K15582,ko:K15586","ko01501,ko02010,ko02024,map01501,map02010,map02024","M00239,M00439,M00440",0,0,"ko00000,ko00001,ko00002,ko02000","3.A.1.5,3.A.1.5.1,3.A.1.5.18,3.A.1.5.19,3.A.1.5.25",0,0,Bacteria,"1V6I5@1239,4HIP8@91061,COG1173@1,COG1173@2",P,Binding-protein-dependent transport system inner membrane component
ACLMOMIF_00573,1121121.KB894325_gene3117,5.7E-108,397.5,Paenibacillaceae,0,0,0,ko:K02033,"ko02024,map02024",M00239,0,0,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,0,0,Bacteria,"1TP1S@1239,26RYT@186822,4HDAW@91061,COG0601@1,COG0601@2",EP,"ABC-type dipeptide oligopeptide nickel transport systems, permease components"
ACLMOMIF_00574,1042163.BRLA_c030080,1E-189,669.8,Paenibacillaceae,nikA,0,0,"ko:K02035,ko:K15584","ko02010,ko02024,map02010,map02024","M00239,M00440",0,0,"ko00000,ko00001,ko00002,ko02000",3.A.1.5,0,0,Bacteria,"1TQ6S@1239,274R6@186822,4HDK6@91061,COG0747@1,COG0747@2",E,Nickel ABC transporter substrate-binding protein
ACLMOMIF_00575,1158609.I586_00745,1.4E-84,319.3,Enterococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1V468@1239,4B4MA@81852,4HICS@91061,COG0500@1,COG0500@2",Q,Nodulation protein S (NodS)
ACLMOMIF_02191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACOMHMIA_00383,1552123.EP57_08040,6.8E-264,916,Listeriaceae,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1U2H3@1239,26N7I@186820,4HEUE@91061,COG5361@1,COG5361@2",S,Protein of unknown function (DUF1254)
ACOMHMIA_00408,1238184.CM001792_gene2898,5.4E-111,408.3,Bacilli,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1UNZ1@1239,4HPMD@91061,COG5444@1,COG5444@2",M,nuclease activity
ACOMHMIA_00409,574376.BAMA_16965,0.00000036,61.2,Bacilli,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1W6IP@1239,28U4B@1,2ZGAA@2,4I0JB@91061",S,Protein of unknown function (DUF3958)
ACOMHMIA_00410,574376.BAMA_16960,0.00000043,60.8,Bacilli,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1VY45@1239,2FAYF@1,34357@2,4HX3B@91061",0,0
ACOMHMIA_00978,1552123.EP57_10170,5.5E-184,650.2,Bacteria,mreB,0,0,ko:K03569,0,0,0,0,"ko00000,ko02048,ko03036,ko04812","1.A.33.1,9.B.157.1",0,0,Bacteria,"COG1077@1,COG1077@2",D,Cell shape determining protein MreB Mrl
ACOMHMIA_01088,44251.PDUR_21805,8.2E-275,953,Paenibacillaceae,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1TQRA@1239,26QDQ@186822,2C1IS@1,2Z86T@2,4HFK3@91061",S,"Psort location Cytoplasmic, score"
ACOMHMIA_01312,574376.BAMA_14905,2.6E-79,302,Bacillus,pyrH,"GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006220,GO:0006221,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009041,GO:0009058,GO:0009117,GO:0009123,GO:0009165,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016776,GO:0018130,GO:0019205,GO:0019438,GO:0019637,GO:0033862,GO:0034641,GO:0034654,GO:0042802,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046940,GO:0050145,GO:0055086,GO:0071704,GO:0072527,GO:0072528,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",2.7.4.22,ko:K09903,"ko00240,ko01100,map00240,map01100",0,R00158,RC00002,"ko00000,ko00001,ko01000",0,0,0,Bacteria,"1TPXN@1239,1ZBMW@1386,4H9UB@91061,COG0528@1,COG0528@2",F,Catalyzes the reversible phosphorylation of UMP to UDP
ACOMHMIA_01416,1166018.FAES_3873,4.9E-92,345.5,Bacteria,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"COG1106@1,COG1106@2",S,"AAA domain, putative AbiEii toxin, Type IV TA system"
ACOMHMIA_01480,1552123.EP57_04745,0,1401.7,Bacilli,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1V0BS@1239,4HCTY@91061,COG1409@1,COG1409@2",DZ,"Purple acid Phosphatase, N-terminal domain"
ACOMHMIA_01505,1552123.EP57_04620,1.4E-231,808.5,Bacilli,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1TRNB@1239,4HCAI@91061,COG0477@1,COG2814@2",EGP,Major facilitator Superfamily
ACOMHMIA_01773,1552123.EP57_11650,1.4E-167,595.5,Listeriaceae,msrR,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1TSWQ@1239,26J6Q@186820,4HE66@91061,COG1316@1,COG1316@2",K,Transcriptional regulator
ACOMHMIA_01998,1552123.EP57_13880,2.2E-117,428.3,Listeriaceae,deoC,"GO:0003674,GO:0003824,GO:0004139,GO:0005975,GO:0006139,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009117,GO:0009166,GO:0009262,GO:0009264,GO:0009987,GO:0016052,GO:0016829,GO:0016830,GO:0016832,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0046434,GO:0046483,GO:0046700,GO:0055086,GO:0071704,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901575,GO:1901576",4.1.2.4,ko:K01619,"ko00030,map00030",0,R01066,"RC00436,RC00437","ko00000,ko00001,ko01000",0,0,iYO844.BSU39420,Bacteria,"1TPAJ@1239,26J20@186820,4HAAJ@91061,COG0274@1,COG0274@2",F,Catalyzes a reversible aldol reaction between acetaldehyde and D-glyceraldehyde 3-phosphate to generate 2-deoxy- D-ribose 5-phosphate
ACOMHMIA_02191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACOMHMIA_02225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACOMHMIA_02682,1552123.EP57_14280,1.5E-174,619,Listeriaceae,yleB,0,4.2.1.126,"ko:K07106,ko:K09963","ko00520,ko01100,map00520,map01100",0,R08555,"RC00397,RC00746","ko00000,ko00001,ko01000",0,0,0,Bacteria,"1TRIY@1239,26KSE@186820,4HAHJ@91061,COG3589@1,COG3589@2",S,Bacterial protein of unknown function (DUF871)
ACOMHMIA_02717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACOMHMIA_02811,1552123.EP57_03690,1.6E-61,241.9,Bacilli,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1VB69@1239,4HM4Z@91061,COG0789@1,COG0789@2",K,Transcriptional regulator
ACOMHMIA_02867,1552123.EP57_03955,7.8E-110,403.3,Bacteria,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"COG0664@1,COG0664@2",T,cyclic nucleotide binding
ACOMHMIA_02940,1552123.EP57_01530,2.4E-240,837.8,Bacilli,puuP_1,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1TPVA@1239,4HAWC@91061,COG0531@1,COG0531@2",E,amino acid
ADAMKFMA_00256,683837.lse_0973,1.9E-191,674.9,Listeriaceae,rfbB,0,4.2.1.46,ko:K01710,"ko00521,ko00523,ko00525,ko01055,ko01130,map00521,map00523,map00525,map01055,map01130",M00793,R06513,RC00402,"ko00000,ko00001,ko00002,ko01000",0,0,0,Bacteria,"1TPWM@1239,26M53@186820,4HA3Y@91061,COG1088@1,COG1088@2",M,Male sterility protein
ADAMKFMA_00916,1121105.ATXL01000015_gene1812,2.7E-29,134.8,Enterococcaceae,arsD,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1VB95@1239,2DMHQ@1,32RMG@2,4B2UD@81852,4HKKS@91061",S,Arsenical resistance operon trans-acting repressor ArsD
ADAMKFMA_02187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADAMKFMA_02193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADAMKFMA_02248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADAMKFMA_02249,1497679.EP56_03850,9.6E-12,77,Listeriaceae,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1VMM1@1239,26M11@186820,2EPVF@1,33HFY@2,4HSG8@91061",0,0
ADAMKFMA_02250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADAMKFMA_02251,330397.A8ATJ9_9CAUD,1.3E-38,166,Caudovirales,0,0,0,0,0,0,0,0,0,0,0,0,Viruses,"4QAQV@10239,4QPCB@28883",S,protein disulfide oxidoreductase activity
ADAMKFMA_02254,1395513.P343_12885,4.9E-77,295,Bacilli,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1TTJI@1239,4HF0S@91061,COG0582@1,COG0582@2",L,Belongs to the 'phage' integrase family
ADAMKFMA_02255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADAMKFMA_02256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADAMKFMA_02257,1449343.JQLQ01000002_gene875,3.6E-20,105.1,Carnobacteriaceae,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1V4GD@1239,27GDN@186828,294TG@1,2ZS6Q@2,4HI6D@91061",0,0
ADAMKFMA_02543,683837.lse_0651,1.7E-151,542,Listeriaceae,ypmR1,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1UZKM@1239,26KE1@186820,4HD6X@91061,COG2755@1,COG2755@2",E,GDSL-like Lipase/Acylhydrolase family
ADAMKFMA_02602,202752.JL53_04695,7.2E-245,852.8,Bacilli,0,0,0,ko:K02761,"ko00500,ko02060,map00500,map02060",M00275,"R11170,R11172","RC00017,RC03206","ko00000,ko00001,ko00002,ko02000",4.A.3.2,0,0,Bacteria,"1TP8D@1239,4H9W2@91061,COG1455@1,COG1455@2",G,"The phosphoenolpyruvate-dependent sugar phosphotransferase system (PTS), a major carbohydrate active - transport system, catalyzes the phosphorylation of incoming sugar substrates concomitant with their translocation across the cell membrane"
ADAMKFMA_02730,683837.lse_0191,2.5E-45,188,Listeriaceae,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1U2Z2@1239,26MZF@186820,2BU4T@1,32PDQ@2,4ICN8@91061",S,Family of unknown function (DUF5502)
ADAMKFMA_02762,683837.lse_0158,1.2E-238,832,Listeriaceae,0,0,0,ko:K02027,0,M00207,0,0,"ko00000,ko00002,ko02000",3.A.1.1,0,0,Bacteria,"1TRIH@1239,26J9Z@186820,4H9MG@91061,COG1653@1,COG1653@2",G,sugar ABC transporter
ADAMKFMA_02926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADAMKFMA_02945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADDKDINA_01146,169963.lmo2752,0,1116.7,Listeriaceae,XK27_09605,0,0,"ko:K06147,ko:K18892","ko02010,map02010",M00708,0,0,"ko00000,ko00001,ko00002,ko02000","3.A.1.106,3.A.1.109,3.A.1.135,3.A.1.21",0,0,Bacteria,"1UNRI@1239,26ISV@186820,4HFD4@91061,COG1132@1,COG1132@2",V,"ABC transporter, ATP-binding protein"
ADDKDINA_01330,169963.lmo2379,1.1E-69,269.2,Listeriaceae,mrpB,0,0,"ko:K05565,ko:K05566",0,0,0,0,"ko00000,ko02000","2.A.63.1,2.A.63.2",0,0,Bacteria,"1V3VF@1239,26KGV@186820,4HHAN@91061,COG2111@1,COG2111@2",P,"subunit B of antiporter complex involved in resistance to high concentrations of Na , K , Li and or alkali"
ADDKDINA_01362,706437.HMPREF0813_00079,0.00000073,60.1,Streptococcus anginosus group,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1TVYV@1239,2DITN@1,3043T@2,42EFK@671232,4I4M1@91061",S,Helix-turn-helix domain
ADDKDINA_01363,469609.HMPREF0847_00376,2.2E-14,85.9,Firmicutes,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1VKX5@1239,COG1396@1,COG1396@2",K,DNA-binding helix-turn-helix protein
ADDKDINA_01364,226185.EF_2955,1.6E-91,343.2,Enterococcaceae,sip,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1TTJI@1239,4AZB3@81852,4HDG6@91061,COG0582@1,COG0582@2",L,Belongs to the 'phage' integrase family
ADDKDINA_01759,411490.ANACAC_03386,0,1335.5,Clostridia,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1UY69@1239,24D7V@186801,COG5635@1,COG5635@2",T,Nacht domain
ADDKDINA_02347,1027396.LMOSA_540,5.5E-190,670.2,Listeriaceae,cbh,0,3.5.1.24,ko:K01442,"ko00120,ko00121,ko01100,map00120,map00121,map01100",0,"R02797,R03975,R03977,R04486,R04487,R05835","RC00090,RC00096","ko00000,ko00001,ko01000",0,0,0,Bacteria,"1TPZS@1239,26N54@186820,4HC4Y@91061,COG3049@1,COG3049@2",M,"Linear amide C-N hydrolases, choloylglycine hydrolase family"
ADDKDINA_02673,169963.lmo0638,1.7E-47,196.1,Bacilli,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1VMTI@1239,2BXE6@1,33J6E@2,4HYNR@91061",0,0
ADDKDINA_02686,1127692.HMPREF9075_01362,8.2E-34,150.2,Capnocytophaga,ydcG,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1ERJ7@1016,1I3EG@117743,4NRT8@976,COG1673@1,COG1673@2",S,Belongs to the UPF0310 family
ADDKDINA_02690,1265845.PWEIH_14826,9.5E-22,109,Bacilli,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1VIWV@1239,2DQ9B@1,335EQ@2,4HQID@91061",0,0
ADDKDINA_02821,1158602.I590_01310,6.5E-83,313.9,Bacilli,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1TRBI@1239,4HGG0@91061,COG1028@1,COG1028@2",IQ,KR domain
ADIKDCKG_01256,1027396.LMOSA_10280,3.9E-28,131,Listeriaceae,cwlC,"GO:0003674,GO:0003824,GO:0005575,GO:0005623,GO:0008745,GO:0016787,GO:0016810,GO:0016811,GO:0030288,GO:0030313,GO:0031975,GO:0042597,GO:0044464,GO:0061783",3.5.1.28,ko:K01448,"ko01503,map01503",M00727,R04112,"RC00064,RC00141","ko00000,ko00001,ko00002,ko01000,ko01011,ko03036",0,0,0,Bacteria,"1V3MD@1239,26K0K@186820,4HHD1@91061,COG0860@1,COG0860@2",M,Ami_3
ADIKDCKG_02571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADIKDCKG_02733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEAJLOBG_00933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEAJLOBG_01465,386043.lwe1801,3.9E-159,567.4,Listeriaceae,ytlI1,0,0,ko:K21960,0,0,0,0,"ko00000,ko03000",0,0,0,Bacteria,"1V9P1@1239,26JG0@186820,4HJKJ@91061,COG0583@1,COG0583@2",K,Transcriptional regulator
AEBJOMKB_00675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEBJOMKB_02384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEFCMLNP_00365,1027396.LMOSA_16250,1.1E-53,215.7,Listeriaceae,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1V9TF@1239,26KPD@186820,4HRS8@91061,COG4817@1,COG4817@2",S,Protein of unknown function (DUF1048)
AEFCMLNP_00754,169963.lmo1128,8.2E-193,679.5,Listeriaceae,0,0,0,ko:K06889,0,0,0,0,ko00000,0,0,0,Bacteria,"1UYH4@1239,26JB6@186820,4HFYP@91061,COG1073@1,COG1073@2",S,X-Pro dipeptidyl-peptidase (S15 family)
AEFCMLNP_00755,169963.lmo1129,1.2E-111,409.1,Listeriaceae,ags,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1VK8T@1239,26J7T@186820,4IRB1@91061,COG0454@1,COG0456@2",K,FR47-like protein
AEFCMLNP_00883,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEFCMLNP_00887,1139219.I569_00587,2.3E-11,75.9,Enterococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1U279@1239,29KWE@1,307TW@2,4B3TZ@81852,4IBR7@91061",0,0
AEFCMLNP_00915,1458856.A0A059T7Y6_9CAUD,0,1539.6,Siphoviridae,0,"GO:0005575,GO:0008150,GO:0016032,GO:0018995,GO:0019012,GO:0019058,GO:0019062,GO:0022610,GO:0033643,GO:0033644,GO:0043657,GO:0044215,GO:0044216,GO:0044217,GO:0044218,GO:0044228,GO:0044279,GO:0044403,GO:0044406,GO:0044419,GO:0044423,GO:0044650,GO:0051704,GO:0098015,GO:0098024",0,0,0,0,0,0,0,0,0,0,Viruses,"4QAK6@10239,4QKKV@10699,4QPBY@28883,4QUP9@35237",S,peptidoglycan catabolic process
AEFCMLNP_01482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEFCMLNP_01514,169963.lmo0036,9.7E-194,682.6,Listeriaceae,ptcA,"GO:0000050,GO:0003674,GO:0003824,GO:0004585,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006525,GO:0006526,GO:0006591,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016740,GO:0016741,GO:0016743,GO:0019627,GO:0019752,GO:0034641,GO:0042450,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0071704,GO:0071941,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607","2.1.3.3,2.1.3.6","ko:K00611,ko:K13252","ko00220,ko01100,ko01110,ko01130,ko01230,map00220,map01100,map01110,map01130,map01230","M00029,M00844",R01398,RC00096,"ko00000,ko00001,ko00002,ko01000",0,0,0,Bacteria,"1TPF2@1239,26K68@186820,4H9X8@91061,COG0078@1,COG0078@2",E,Catalyzes the phosphorolysis of N-carbamoylputrescine to form carbamoyl phosphate and putrescine. Is involved in the degradation pathway of the polyamine agmatine
AEFCMLNP_01611,169963.lmo2796,1.5E-166,592,Listeriaceae,nanK,0,2.7.1.85,ko:K18673,0,0,0,0,"ko00000,ko01000",0,0,0,Bacteria,"1TP04@1239,26M92@186820,4HEJ9@91061,COG1940@1,COG1940@2",GK,ROK family
AEFCMLNP_01716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEFCMLNP_02458,169963.lmo0331,7.7E-168,597.4,Listeriaceae,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1V3DU@1239,26KBD@186820,4HXVT@91061,COG4886@1,COG4886@2",O,protein (LPXTG motif)
AEFHMGBG_00465,272626.lin1713,4.3E-128,464.2,Bacilli,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1VDJB@1239,2D9AP@1,32TSY@2,4HEQ7@91061",0,0
AEFHMGBG_00689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEFHMGBG_01756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AEFHMGBG_01788,386043.lwe0341,2.6E-77,294.7,Listeriaceae,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1VY3C@1239,26KMI@186820,2F8U7@1,34167@2,4HWXC@91061",0,0
AEFHMGBG_01884,1158610.UC3_02604,1.5E-198,699.1,Enterococcaceae,M1-530,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1TQP1@1239,2DB83@1,2Z7Q0@2,4B1Z5@81852,4HC9T@91061",S,Protein of unknown function (DUF4127)
AEFHMGBG_02309,1158606.I579_02180,4.7E-19,100.5,Enterococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1U4Y7@1239,4B5GT@81852,4IEPR@91061,COG2963@1,COG2963@2",L,transposase activity
AEFHMGBG_02464,1027396.LMOSA_9680,1.3E-151,542.3,Listeriaceae,0,0,0,0,0,0,0,0,0,0,0,0,Bacteria,"1V7M9@1239,26MMT@186820,2B3KM@1,31W9Z@2,4HJBX@91061",S,Phage tail protein
