1,SRA Run Accession,Isolate ID,Sample ID,Genus,sensu,Species,sigB AT,Number of  contigs,Genome size (bp),GC (%),N50,Average coverage,Bioproject,WGS Acession,Phylogroup,State,fosX,lin,mprF,norB,sul,lmo0209,mogR,lmo0675,fliP,fliQ,fliR,flhB,flhA,flhF,flgG,motA,motB,lmo0688,flaA,fliN_lmo0693,lmo0696,flgE,fliN_lmo0698,fliM,fliY,flgK,flgL,fliD,lmo0708,flgB,flgC,fliE,fliF,fliG,fliH,fliI,comK,comEC,comG,comGF,comGD,comGA,cinA,comEB,comEA,coiA,comFC,comFA
12,SRR11344119,L7-0036,TX-MC-1,Listeria,strictu,L. welshimeri,178,20,2729643,36.31,384870,169.246,PRJNA561882,JAASWW000000000,L8,TX,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
13,SRR11344108,L7-0038,TX-MC-1,Listeria,strictu,L. welshimeri,179,23,2738915,36.24,247605,46.0602,PRJNA561882,JAARZV000000000,L8,TX,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
14,SRR11344256,L7-0039,TX-MC-3,Listeria,lato,L. booriae,S5016,66,3561066,41.68,127008,71.3356,PRJNA561882,JAASWV000000000,L12,TX,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,-1,-1,-1,0
15,SRR11344149,L7-0045,TX-CR-1,Listeria,strictu,L. welshimeri,19,38,2787317,36.3,142283,104.895,PRJNA561882,JAARZU000000000,L8,TX,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
16,SRR11344138,L7-0051,TX-CR-3,Listeria,lato,L. booriae,S5016,80,3648983,41.55,96793,68.7253,PRJNA561882,JAARZT000000000,L12,TX,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,-1,-1,-1,0
17,SRR11344127,L7-0054,TX-CR-4,Listeria,lato,L. booriae,S5016,101,3499911,41.74,80324,56.3956,PRJNA561882,JAARZS000000000,L12,TX,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,0,0,0,-1,-1,-1,0
18,SRR11343991,L7-0058,TX-CR-5,Listeria,lato,L. booriae,S5017,36,3318002,41.88,288410,75.2269,PRJNA561882,JAARZR000000000,L12,TX,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,0,-1,0
19,SRR11343980,L7-0060,TX-GCS-1,Listeria,strictu,L. welshimeri,89,14,2765226,36.17,1467333,136.925,PRJNA561882,JAARZQ000000000,L8,TX,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
20,SRR11343969,L7-0066,TX-GCS-2,Listeria,strictu,L. welshimeri,180,18,2771901,36.24,480886,133.516,PRJNA561882,JAATOB000000000,L8,TX,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
21,SRR11343958,L7-0067,TX-GCS-2,Listeria,strictu,L. welshimeri,89,14,2766899,36.18,1466891,215.523,PRJNA561882,JAARZP000000000,L8,TX,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
22,SRR11343947,L7-0072,TX-GCS-4,Listeria,strictu,L. farberi,181,14,2948585,36.85,539249,343.736,PRJNA561882,JAARZO000000000,L7,TX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
23,SRR11343936,L7-0078,TX-GCS-5,Listeria,strictu,L. welshimeri,182,44,2802773,36.11,162489,227.46,PRJNA561882,JAARZN000000000,L8,TX,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
24,SRR11343924,L7-0082,TX-GCS-5,Listeria,strictu,L. welshimeri,134,21,2797143,36.24,258448,182.815,PRJNA561882,JAARZM000000000,L8,TX,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
25,SRR11343913,L7-0083,TX-GCS-5,Listeria,strictu,L. farberi,181,15,2935814,36.91,1483358,242.54,PRJNA561882,JAARZL000000000,L7,TX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1
26,SRR11344187,L7-0084,NC-CMSP-5,Listeria,lato,L. booriae,S5018,32,3576255,41.97,275568,125.903,PRJNA561882,JAARZK000000000,L12,NC,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
27,SRR11344176,L7-0091,TX-DP-1,Listeria,strictu,L. farberi,183,61,3017328,36.75,168881,95.9594,PRJNA561882,JAARZJ000000000,L7,TX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
28,SRR11344165,L7-0094,TX-DP-2,Listeria,lato,L. booriae,S5019,55,3520376,41.59,171059,195.685,PRJNA561882,JAARZI000000000,L12,TX,1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
29,SRR11344061,L7-0095,TX-DP-2,Listeria,strictu,L. welshimeri,17,19,2827489,36.26,357432,251.217,PRJNA561882,JAARZH000000000,L8,TX,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
30,SRR11344050,L7-0096,TX-DP-2,Listeria,strictu,L. welshimeri,27,12,2800527,36.31,1443678,383.349,PRJNA561882,JAARZG000000000,L8,TX,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
31,SRR11344039,L7-0100,TX-DP-5,Listeria,strictu,L. welshimeri,184,41,2772239,36.23,204561,132.332,PRJNA561882,JAARZF000000000,L8,TX,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
32,SRR11343900,L7-0106,CO-HM-1,Listeria,strictu,L. welshimeri,185,23,2774850,36.21,382828,339.161,PRJNA561882,JAARZE000000000,L8,CO,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
33,SRR10019263,L7-0112,MO-CSP-3,Listeria,strictu,L. monocytogenes,186,30,2870595,38.08,229930,102.97,PRJNA561882,VTKT00000000,L1,MO,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,SRR10019258,L7-0115,MO-CSP-4,Listeria,strictu,L. monocytogenes,90,14,2948822,37.95,523802,276.166,PRJNA561882,VTKS00000000,L1,MO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
35,SRR11343889,L7-0121,NC-CNF-1,Listeria,strictu,L. ivanovii,187,27,2911400,36.94,220911,317.558,PRJNA561882,JAARZD000000000,-,NC,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
36,SRR11343877,L7-0123,NC-CNF-1,Listeria,strictu,L. cossartiae,188,9,2830125,38.56,523254,170.82,PRJNA561882,JAARZC000000000,-,NC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
37,SRR11344247,L7-0125,NC-CNF-2,Listeria,strictu,L. innocua,189,27,2981661,37.24,519873,107.519,PRJNA561882,JAASWU000000000,L6,NC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
38,SRR10019203,L7-0131,OH-WN-1,Listeria,strictu,L. monocytogenes,190,10,2899334,38.07,1461064,181.592,PRJNA561882,VTKR00000000,L1,OH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39,SRR11344236,L7-0132,OH-WN-1,Listeria,strictu,L. seeligeri,122,35,2942584,37.15,197635,145.06,PRJNA561882,JAARZB000000000,L9,OH,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
40,SRR10019214,L7-0139,OH-WN-3,Listeria,strictu,L. monocytogenes,104,12,2840656,38.12,1447169,108.388,PRJNA561882,VTKQ00000000,L1,OH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,SRR10019253,L7-0144,OH-WN-3,Listeria,strictu,L. monocytogenes,81,9,2927771,38.02,1518447,183.016,PRJNA561882,VTKP00000000,L1,OH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,SRR10019248,L7-0145,OH-WN-3,Listeria,strictu,L. monocytogenes,191,19,2886366,38.04,547980,68.0125,PRJNA561882,VTKO00000000,L1,OH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,SRR10019237,L7-0147,OH-WN-4,Listeria,strictu,L. monocytogenes,192,8,2823466,38.16,1443475,177.886,PRJNA561882,VTKN00000000,L1,OH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
44,SRR10019228,L7-0148,OH-WN-4,Listeria,strictu,L. monocytogenes,82,16,2964118,37.93,499746,141.588,PRJNA561882,VTKM00000000,L1,OH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45,SRR11344225,L7-0149,OH-WN-4,Listeria,lato,L. booriae,S5020,39,3846862,41.74,628535,39.5611,PRJNA561882,JAARZA000000000,L12,OH,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
46,SRR11344089,L7-0150,OH-WN-4,Listeria,strictu,L. seeligeri,24,32,2870193,37.16,189763,100.835,PRJNA561882,JAARYZ000000000,L9,OH,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
47,SRR11344078,L7-0153,OH-WN-4,Listeria,lato,L. booriae,S5021,19,3617868,41.99,383678,98.1478,PRJNA561882,JAARYY000000000,L12,OH,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
48,SRR10019270,L7-0155,OH-WN-5,Listeria,strictu,L. monocytogenes,192,14,2933655,38.02,1514166,149.75,PRJNA561882,VTKL00000000,L1,OH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,SRR10019269,L7-0157,OH-WN-5,Listeria,strictu,L. monocytogenes,193,8,2873513,38.04,1463005,140.264,PRJNA561882,VTKK00000000,L1,OH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
50,SRR10019268,L7-0163,IN-TR-1,Listeria,strictu,L. monocytogenes,58,15,2875922,37.91,476942,119.945,PRJNA561882,VTKJ00000000,L3,IN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,SRR11344067,L7-0171,IN-TR-3,Listeria,strictu,L. seeligeri,1,22,2794479,37.26,225617,185.084,PRJNA561882,JAARYX000000000,L10,IN,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
52,SRR11344024,L7-0177,IN-TR-3,Listeria,strictu,L. seeligeri,72,78,2891049,37.22,320575,138.293,PRJNA561882,JAARYW000000000,L9,IN,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
53,SRR11344013,L7-0179,IN-TR-4,Listeria,strictu,L. seeligeri,12,59,2953590,37.24,186360,128.834,PRJNA561882,JAARYV000000000,L9,IN,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1
54,SRR11344002,L7-0181,IN-TR-4,Listeria,strictu,L. seeligeri,72,23,2845264,37.26,321332,109.453,PRJNA561882,JAARYU000000000,L9,IN,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
55,SRR11343862,L7-0185,IN-TR-5,Listeria,strictu,L. seeligeri,4,15,2805115,37.25,533612,214.413,PRJNA561882,JAARYT000000000,L10,IN,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
56,SRR11343851,L7-0186,IN-TR-5,Listeria,strictu,L. seeligeri,3,18,2821794,37.22,524262,155.984,PRJNA561882,JAARYS000000000,L10,IN,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
57,SRR11343843,L7-0191,OH-CV-1,Listeria,strictu,L. seeligeri,12,19,2869399,37.22,311171,153.763,PRJNA561882,JAARYR000000000,L9,OH,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
58,SRR11343842,L7-0192,OH-CV-1,Listeria,strictu,L. welshimeri,194,21,2826887,36.19,1516505,174.681,PRJNA561882,JAATOA000000000,L8,OH,1,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0
59,SRR9845433,L7-0197,OH-CV-2,Listeria,strictu,L. monocytogenes,192,9,2850484,38.12,1464975,200.817,PRJNA514286,AAJADL000000000,L1,OH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,SRR11344222,L7-0198,OH-CV-2,Listeria,strictu,L. seeligeri,20,115,2907458,37.3,169206,139.717,PRJNA561882,JAASWT000000000,L9,OH,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
61,SRR11344221,L7-0199,OH-CV-2,Listeria,strictu,L. seeligeri,3,18,2872071,37.27,552445,120.742,PRJNA561882,JAARYQ000000000,L10,OH,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1
62,SRR10019267,L7-0201,OH-CV-2,Listeria,strictu,L. monocytogenes,104,11,2845559,38.09,542905,143.458,PRJNA561882,VTKI00000000,L1,OH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
63,SRR10019266,L7-0205,OH-CV-3,Listeria,strictu,L. monocytogenes,195,15,2900024,37.98,513632,140.525,PRJNA561882,VTKH00000000,L1,OH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
64,SRR11344220,L7-0207,OH-CV-3,Listeria,strictu,L. seeligeri,3,13,2828795,37.25,514580,121.15,PRJNA561882,JAARYP000000000,L10,OH,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1
65,SRR10019265,L7-0213,OH-CV-4,Listeria,strictu,L. monocytogenes,196,9,2871683,38.06,1472463,141.486,PRJNA561882,VTKG00000000,L1,OH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
66,SRR10019185,L7-0214,OH-CV-4,Listeria,strictu,L. monocytogenes,82,21,2915128,38.06,525006,153.576,PRJNA561882,VTKF00000000,L1,OH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67,SRR11344219,L7-0215,OH-CV-4,Listeria,strictu,L. welshimeri,47,36,2800537,36.21,157985,176.082,PRJNA561882,JAARYO000000000,L8,OH,0,1,1,-1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
68,SRR11344218,L7-0217,OH-CV-4,Listeria,lato,L. booriae,S5022,14,3490983,42.04,557560,111.213,PRJNA561882,JAARYN000000000,L12,OH,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,0
69,SRR10019186,L7-0218,OH-CV-4,Listeria,strictu,L. monocytogenes,197,10,2864392,38.08,1461179,107.099,PRJNA561882,VTKE00000000,L1,OH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
70,SRR10019187,L7-0221,OH-CV-5,Listeria,strictu,L. monocytogenes,81,12,2844779,38.12,495743,101.364,PRJNA561882,VTKD00000000,L1,OH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
71,SRR10019264,L7-0222,OH-CV-5,Listeria,strictu,L. monocytogenes,195,14,2987443,37.89,477273,50.2036,PRJNA561882,VTKC00000000,L1,OH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,SRR11344217,L7-0229,AL-OM-1,Listeria,strictu,L. cossartiae,198,13,2821772,38.67,523834,134.752,PRJNA561882,JAARYM000000000,L5,AL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
